key	category	source	built-in-simplified	runtime-target
equip.Swampy Hat.name	Equips	Swampy Hat		沼泽帽子
equip.Swift Fang.description	Equips	“A fang does not need size. It needs timing, venom, and a fool close enough to learn.” — Suphara	“尖牙无需硕大。它只需要时机、毒液，以及一个靠得够近、能学到教训的蠢货。” — Suphara	“尖牙无需硕大。它只需要时机、毒液，以及一个靠得够近、能学到教训的蠢货。” — 苏帕拉
equip.Swift Fang.name	Equips	Serpent Fang		巨蛇獠牙
equip.Sword.description	Equips	“It is dangerous to go alone, aye. So I made this one simple, sturdy, and ready for your first journey.” — Suphara	“独自上路确实危险，没错。所以我把这把剑做得简单、结实，随时可以陪你踏上第一次旅程。” — Suphara	“独自上路确实危险，没错。所以我把这把剑做得简单、结实，随时可以陪你踏上第一次旅程。” — 苏帕拉
equip.Sword.name	Equips	Sword		剑
equip.Teapot Spirit.description	Equips	A kettle-shaped charm that steams faintly. Rumored to house a mischievous spirit.	一枚茶壶形护符，隐约冒着蒸汽。据说里面住着一个爱恶作剧的灵体。	一枚茶壶形护符，隐约冒着蒸汽。据说里面住着一个爱恶作剧的灵体。
equip.Teapot Spirit.name	Equips	Teapot Spirit		茶壶精灵
equip.Tempest Robes.description	Equips	Storm-touched robes braid fire, frost, thunder, and stone into restless spellwork.	受风暴触碰的长袍，将火焰、寒霜、雷霆与岩石编入躁动不安的法术。	受风暴触碰的长袍，将火焰、寒霜、雷霆与岩石编入躁动不安的法术。
equip.Tempest Robes.name	Equips	Tempest Robes		风暴长袍
equip.Tempest Staff.description	Equips	“Wind and thunder are stubborn guests. Treat them firm, and they will fight for you.” — Suphara	“风与雷都是固执的客人。管教得严些，它们就会替你战斗。” — Suphara	“风与雷都是固执的客人。管教得严些，它们就会替你战斗。” — 苏帕拉
equip.Tempest Staff.name	Equips	Tempest Staff		风暴法杖
equip.Thief Mask.description	Equips	Faintly cursed, this mask sometimes shifts when you aren't looking.	这副面具有着淡淡的诅咒，有时会在你没注意时悄悄改变形状。	这副面具有着淡淡的诅咒，有时会在你没注意时悄悄改变形状。
equip.Thief Mask.name	Equips	Thief Mask		小偷面具
equip.ThiefChest.description	Equips	Shadow-dark leather made for quick hands and quiet exits.	暗如阴影的皮革，专为灵巧双手与悄然脱身而制。	暗如阴影的皮革，专为灵巧双手与悄然脱身而制。
equip.ThiefChest.name	Equips	Ashwalker Chest		灰烬行者胸甲
equip.ThiefFeet.description	Equips	The floor keeps secrets better when these pass over it.	当这双鞋经过时，连地板都更懂得保守秘密。	当这双鞋经过时，连地板都更懂得保守秘密。
equip.ThiefFeet.name	Equips	Ashwalker Shoes		灰烬行者鞋
equip.ThiefLegs.description	Equips	Light fabric favors fast escapes over fair fights.	轻盈布料偏爱迅速脱身，而不是公平交手。	轻盈布料偏爱迅速脱身，而不是公平交手。
equip.ThiefLegs.name	Equips	Ashwalker Legs		灰烬行者护腿
equip.Thundercoil.description	Equips	“Keep pressure on the line, and even brave enemies start counting exits.” — Suphara	“持续给战线施压，就连勇敢的敌人也会开始数出口。” — Suphara	“持续给战线施压，就连勇敢的敌人也会开始数出口。” — 苏帕拉
equip.Thundercoil.name	Equips	Thundercoil		雷霆线圈
equip.Tiger Hat.description	Equips	A striped helm shaped like a tiger's head. Radiates ferocity and predatory strength.	一顶塑成虎头模样的条纹头盔，散发着凶猛气势与掠食者般的力量。	一顶塑成虎头模样的条纹头盔，散发着凶猛气势与掠食者般的力量。
equip.Tiger Hat.name	Equips	Tiger Hat		虎帽
equip.Tinker Goggles.description	Equips	Bulky lenses magnify runes, schematics, and every tiny mistake.	厚重镜片会放大符文、设计图，以及每一个细小错误。	厚重镜片会放大符文、设计图，以及每一个细小错误。
equip.Tinker Goggles.name	Equips	Tinker Goggles		修补匠护目镜
equip.Tinker Mask.description	Equips	The contraption blocks glare while making you look prepared.	这套装置能挡住强光，同时让你看起来准备得十分充分。	这套装置能挡住强光，同时让你看起来准备得十分充分。
equip.Tinker Mask.name	Equips	Tinker Mask		修补匠面具
equip.Tomahawk.description	Equips	A light and balanced Axe. Perfect for throwing from a distance. Throw first, axe questions later.	一把轻巧而平衡良好的斧头，非常适合从远处投掷。先扔斧头，问题以后再问。	一把轻巧而平衡良好的斧头，非常适合从远处投掷。先扔斧头，问题以后再问。
equip.Tomahawk.name	Equips	Tomahawk		投掷斧
equip.Tome of Ages.description	Equips	Old straps hold forgotten spells and histories that refuse retirement.	老旧皮带束缚着被遗忘的法术与拒绝退场的历史。	老旧皮带束缚着被遗忘的法术与拒绝退场的历史。
equip.Tome of Ages.name	Equips	Tome of Ages		纪元之书
equip.Top Hat.description	Equips	Navy-blue polish and scarlet trim demand the party's attention before manners arrive.	海军蓝的光泽与猩红饰边，在礼貌抵达之前便先夺走聚会上的目光。	海军蓝的光泽与猩红饰边，在礼貌抵达之前便先夺走聚会上的目光。
equip.Top Hat.name	Equips	Top Hat		高顶礼帽
equip.Totem Banner.description	Equips	Cloth and charms carry ancestral protection from a tribal frame.	布料与护符从部族框架上传递祖先的庇护。	布料与护符从部族框架上传递祖先的庇护。
equip.Totem Banner.name	Equips	Totem Banner		图腾战旗
equip.Totem Mask.description	Equips	Carved primal energy awakens the beast behind the wearer's eyes.	雕刻出的原始能量，唤醒佩戴者眼中潜藏的野兽。	雕刻出的原始能量，唤醒佩戴者眼中潜藏的野兽。
equip.Totem Mask.name	Equips	Totem Mask		图腾面具
equip.Totem Skull Headdress.description	Equips	A spirit skull crowns the headdress, warning allies and enemies alike.	一颗灵体头骨为这顶头饰加冕，同时警告盟友与敌人。	一颗灵体头骨为这顶头饰加冕，同时警告盟友与敌人。
equip.Totem Skull Headdress.name	Equips	Spirit Skull Headdress		灵魂骷髅头饰
equip.Treasure Box.description	Equips	A mini loot chest worn by risk-takers. May or may not be trapped.	一只由冒险者佩戴的迷你战利品宝箱。可能有陷阱，也可能没有。	一只由冒险者佩戴的迷你战利品宝箱。可能有陷阱，也可能没有。
equip.Treasure Box.name	Equips	Mini Treasure Chest		迷你宝箱
equip.Treasure Chest.description	Equips	Golden storage promises fortune.	金色储物箱许诺着财富。	金色储物箱许诺着财富。
equip.Treasure Chest.name	Equips	Treasure Chest		宝箱
equip.Tribal Mask.description	Equips	Ancient clan carvings pull instincts closer to the surface.	古老氏族雕纹将本能牵引得更接近表面。	古老氏族雕纹将本能牵引得更接近表面。
equip.Tribal Mask.name	Equips	Tribal Mask		部落面具
equip.Trickster Horns.description	Equips	Small devil horns announce mischief before the prank even begins.	小小的恶魔角在恶作剧开始前便先宣告了麻烦。	小小的恶魔角在恶作剧开始前便先宣告了麻烦。
equip.Trickster Horns.name	Equips	Trickster Horns		诡术之角
equip.Trident of Tides.description	Equips	As ruthless as the seas, it is a mercy we grant ourselves.	它如海洋般无情；幸好我们把这份慈悲留给了自己。	它如海洋般无情；幸好我们把这份慈悲留给了自己。
equip.Trident of Tides.name	Equips	Trident of Tides		潮汐三叉戟
equip.Triple Barrel Revolver.description	Equips	“One barrel is a question. Three is a demand.” — Suphara	“一根枪管是在提问。三根枪管就是命令。” — Suphara	“一根枪管是在提问。三根枪管就是命令。” — 苏帕拉
equip.Triple Barrel Revolver.name	Equips	Triple Barrel Revolver		三管左轮手枪
equip.TurtleShell.description	Equips	Slow, steady shellwork insists panic is simply bad pacing. Don't stomp on the wielder, please.	缓慢而沉稳的甲壳工艺坚信，慌张只不过是节奏太差。拜托，别踩使用者。	缓慢而沉稳的甲壳工艺坚信，慌张只不过是节奏太差。拜托，别踩使用者。
equip.TurtleShell.name	Equips	Turtle Shell		龟甲
equip.Twinblade.description	Equips	Twin edges move in one rhythm, dancing along night's edge.	双刃循着同一节奏移动，在夜色边缘起舞。	双刃循着同一节奏移动，在夜色边缘起舞。
equip.Twinblade.name	Equips	Twinblade		双刃
equip.Valiant Crown.description	Equips	Gold trim declares command, whether anyone actually requested leadership.	金色饰边宣告着号令之权，不管有没有人真的要求你来领导。	金色饰边宣告着号令之权，不管有没有人真的要求你来领导。
equip.Valiant Crown.name	Equips	Valiant Crown		英勇王冠
equip.Valor Helm.description	Equips	Polished curves speak of earned honor, not empty arrogance alone.	抛光曲线诉说着凭实力赢得的荣誉，而不只是空洞的傲慢。	抛光曲线诉说着凭实力赢得的荣誉，而不只是空洞的傲慢。
equip.Valor Helm.name	Equips	Valor Helm		英勇头盔
equip.Ventilator Mask.description	Equips	Filters stop toxins, fumes, and several regrettable laboratory smells.	过滤器能挡住毒素、烟气，以及几种令人后悔的实验室气味。	过滤器能挡住毒素、烟气，以及几种令人后悔的实验室气味。
equip.Ventilator Mask.name	Equips	Ventilator Mask		滤毒面罩
equip.Verdant Antlers.description	Equips	Mossy antlers hum gently whenever deep woodland wind passes through.	覆着苔藓的鹿角每当林深处的风吹过，便会轻柔低鸣。	覆着苔藓的鹿角每当林深处的风吹过，便会轻柔低鸣。
equip.Verdant Antlers.name	Equips	Verdant Antlers		翠绿鹿角
equip.Verdant Core.description	Equips	Living roots coil around the crystal, feeding nature into spellwork.	活生生的根须盘绕水晶，将自然之力注入法术。	活生生的根须盘绕水晶，将自然之力注入法术。
equip.Verdant Core.name	Equips	Verdant Core		翠绿核心
equip.Verdant Striders.description	Equips	Woven from living vines and supple bark, these leggings move with the rhythm of the forest. Each step stirs unseen currents, quickening the body as if the wild itself urges you onward.	由活藤与柔韧树皮编织而成的绑腿，随着森林的节奏而动。每一步都会搅动无形气流，使身体加速，仿佛荒野本身正在催促你向前。	由活藤与柔韧树皮编织而成的绑腿，随着森林的节奏而动。每一步都会搅动无形气流，使身体加速，仿佛荒野本身正在催促你向前。
equip.Verdant Striders.name	Equips	Verdant Striders		翠蔓绑腿
equip.Violet Heart Charm.description	Equips	Purple warmth reassures the wearer, like a tiny magical blanket.	紫色暖意安抚着佩戴者，就像一条小小的魔法毯。	紫色暖意安抚着佩戴者，就像一条小小的魔法毯。
equip.Violet Heart Charm.name	Equips	Violet Heart Charm		紫罗兰心护符
equip.Void Urn.description	Equips	A sealed vessel marked with forbidden runes. Whispers echo from within.	一只刻有禁忌符文的密封容器，低语声从内部不断回荡。	一只刻有禁忌符文的密封容器，低语声从内部不断回荡。
equip.Void Urn.name	Equips	Void Urn		虚空之瓮
equip.Voidspike Helm.description	Equips	Purple spikes handle intimidation better than any glare.	紫色尖刺比任何怒视都更擅长威吓。	紫色尖刺比任何怒视都更擅长威吓。
equip.Voidspike Helm.name	Equips	Voidspike Helm		虚刺头盔
equip.Voidthreads.description	Equips	Dark strands stitched from forgotten silk, adapted for those who balance power, grace, and grit.	以被遗忘的丝线缝成的暗色织物，适合那些在力量、优雅与坚韧之间维持平衡的人。	以被遗忘的丝线缝成的暗色织物，适合那些在力量、优雅与坚韧之间维持平衡的人。
equip.Voidthreads.name	Equips	Voidthreads		虚空丝线
equip.War Axe.description	Equips	A sharp axe used to hack away at your target.	一把用来狠狠劈砍目标的锋利斧头。	一把用来狠狠劈砍目标的锋利斧头。
equip.War Axe.name	Equips	War Axe		战斧
equip.War Banner.description	Equips	A battle-worn flag bearing beast claw marks.	一面伤痕累累的战旗，上面留着野兽的爪痕。	一面伤痕累累的战旗，上面留着野兽的爪痕。
equip.War Banner.name	Equips	War Banner		战旗
equip.Warborn Aegis.description	Equips	Rage and duty sleep inside this relic of fallen champions.	愤怒与职责沉睡在这件陨落冠军的遗物之中。	愤怒与职责沉睡在这件陨落冠军的遗物之中。
equip.Warborn Aegis.name	Equips	Warborn Aegis		战铸圣盾
equip.Warlord Emblem Shield.description	Equips	A broad iron shield engraved with a sharp emblem. Designed to intimidate and absorb punishment.	一面刻有锐利徽记的宽大铁盾，专为威慑敌人并承受惩罚而设计。	一面刻有锐利徽记的宽大铁盾，专为威慑敌人并承受惩罚而设计。
equip.Warlord Emblem Shield.name	Equips	Warlord Emblem Shield		督军纹章盾
equip.Warrior_1.description	Equips	Rust-red maps follow stunned prey, guiding heavy arcs toward vulnerable wounds.	锈红色路线追随着陷入眩晕的猎物，引导沉重弧击落向脆弱的伤口。	锈红色路线追随着陷入眩晕的猎物，引导沉重弧击落向脆弱的伤口。
equip.Warrior_1.name	Equips	Bloodtrail		血迹
equip.Warrior_2.description	Equips	Blunt warrior doctrine teaches every charge to leave jaws, guards, and courage shaken.	钝重的战士教义要求每一次冲锋都震撼下颌、守势与勇气。	钝重的战士教义要求每一次冲锋都震撼下颌、守势与勇气。
equip.Warrior_2.name	Equips	Breakjaw		碎颌
equip.Warrior_3.description	Equips	A brutal manual for dragging foes into the hungry reach of steel.	一本残酷的手册，教人把敌人拖入饥渴钢铁的攻击范围。	一本残酷的手册，教人把敌人拖入饥渴钢铁的攻击范围。
equip.Warrior_3.name	Equips	Warmaw		战争巨口
equip.Warrior_4.description	Equips	Pain-stained pages teach survival to bargain loudly when health runs low.	染满痛苦的书页教会生存本能在生命垂危时大声讨价还价。	染满痛苦的书页教会生存本能在生命垂危时大声讨价还价。
equip.Warrior_4.name	Equips	Bloodprice		血价
equip.Warrior_5.description	Equips	A scarred route map turns spinning violence into protection and slowing pressure.	一张伤痕累累的路线图，将旋转的暴力化作防护与减速压制。	一张伤痕累累的路线图，将旋转的暴力化作防护与减速压制。
equip.Warrior_5.name	Equips	Warpath		战争之路
equip.Wasteland Cleaver.description	Equips	“Spin with care. This cleaver pulls trouble close before it cuts it down.” — Suphara	“旋转时要小心。这把砍刀会先把麻烦拉近，再把它斩倒。” — Suphara	“旋转时要小心。这把砍刀会先把麻烦拉近，再把它斩倒。” — 苏帕拉
equip.Wasteland Cleaver.name	Equips	Wasteland Cleaver		荒原战刃
equip.Water Shield.description	Equips	“Cold bites hardest when you panic. Stand firm, and let it break first.” — Suphara	“你一慌，寒冷就咬得最狠。站稳，让它先崩溃。” — Suphara	“你一慌，寒冷就咬得最狠。站稳，让它先崩溃。” — 苏帕拉
equip.Water Shield.name	Equips	Frostspire Guard		霜尖守卫
equip.Weaver Gauntlets.description	Equips	A quiet art that intertwines might, mind, and spirit.	一种静谧的技艺，将力量、心智与灵魂交织在一起。	一种静谧的技艺，将力量、心智与灵魂交织在一起。
equip.Weaver Gauntlets.name	Equips	Weaver Gauntlets		织法师护手
equip.Weaver_1.description	Equips	Interlaced threads teach resistance, taunts, and patient punishment in one guarded pattern.	交错丝线将抗性、嘲讽与耐心反击编入同一套守御纹样。	交错丝线将抗性、嘲讽与耐心反击编入同一套守御纹样。
equip.Weaver_1.name	Equips	Weave of Counter		反击织法
equip.Weaver_2.description	Equips	Gentle threads bind protection and healing into a guardian's steady pattern.	柔和丝线将防护与治疗编织成守护者沉稳的纹样。	柔和丝线将防护与治疗编织成守护者沉稳的纹样。
equip.Weaver_2.name	Equips	Weave of Guardian		守护织法
equip.Weaver_3.description	Equips	Arcane threads hum with shielding spells and controlled magical force.	奥术丝线低声鸣响，将护盾法术与受控魔力编织在一起。	奥术丝线低声鸣响，将护盾法术与受控魔力编织在一起。
equip.Weaver_3.name	Equips	Weave of Arcana		奥术织法
equip.Weaver_4.description	Equips	Fierce threads knot smoke, fury, and close combat into one reckless pattern.	狂烈丝线将烟雾、怒火与近身战斗打结成一套鲁莽纹样。	狂烈丝线将烟雾、怒火与近身战斗打结成一套鲁莽纹样。
equip.Weaver_4.name	Equips	Weave of Fury		狂怒织法
equip.Weaver_5.description	Equips	Taut threads guide traps and volatile bolts toward distant vulnerable targets.	绷紧的丝线引导陷阱与不稳定弩矢，射向远处脆弱的目标。	绷紧的丝线引导陷阱与不稳定弩矢，射向远处脆弱的目标。
equip.Weaver_5.name	Equips	Weave of Marksman		神射织法
equip.WeaverChest.description	Equips	A tunic lined with shimmering threads and hidden pockets, woven by artisans who channel the latent power of enchanted cards. Perfect for those who collect, combine, or crack them open.	一件内衬闪光丝线并藏有暗袋的上衣，由能够引导附魔卡牌潜在力量的工匠织成。非常适合那些喜欢收集、组合或拆解卡牌的人。	一件内衬闪光丝线并藏有暗袋的上衣，由能够引导附魔卡牌潜在力量的工匠织成。非常适合那些喜欢收集、组合或拆解卡牌的人。
equip.WeaverChest.name	Equips	Weaver Chest		织法师胸甲
equip.WeaverFeet.description	Equips	Soft-soled and rune-etched, these shoes hum faintly with stored enchantments. Those who tread in them leave behind no trace, except the lingering echo of shuffled fate.	柔软鞋底刻有符文，因储存的附魔而隐隐低鸣。穿着它们走过的人不会留下任何痕迹，只有洗牌命运久久不散的回响。	柔软鞋底刻有符文，因储存的附魔而隐隐低鸣。穿着它们走过的人不会留下任何痕迹，只有洗牌命运久久不散的回响。
equip.WeaverFeet.name	Equips	Weaver Shoes		织法师鞋
equip.WeaverLegs.description	Equips	These layered wraps are reinforced with rune-stitched seams and subtle card slots, favored by Weavers who walk the fine line between creation and disassembly.	这些层叠裹布以符文缝线与隐蔽卡槽加固，深受行走在创造与拆解边缘的 Weavers 青睐。	这些层叠裹布以符文缝线与隐蔽卡槽加固，深受行走在创造与拆解边缘的织法师青睐。
equip.WeaverLegs.name	Equips	Weaver Legs		织法师护腿
equip.Whale Backpack.description	Equips	Now you can have a whale of a good time with this soft, cuddly aquatic backpack. It's like having the ocean at your beck and call.	现在你可以背上这只柔软可爱的水生背包，尽情享受一段“鲸”彩时光。仿佛整片海洋都随叫随到。	现在你可以背上这只柔软可爱的水生背包，尽情享受一段“鲸”彩时光。仿佛整片海洋都随叫随到。
equip.Whale Backpack.name	Equips	Whale Backpack		鲸鱼背包
equip.Whisper of Thorns.description	Equips	“A thorn does not slash. It pierces, and then lets the venom speak.” — Suphara	“荆棘并不劈砍。它只会刺入，然后让毒液开口。” — Suphara	“荆棘并不劈砍。它只会刺入，然后让毒液开口。” — 苏帕拉
equip.Whisper of Thorns.name	Equips	Whisper of Thorns		荆棘低语
equip.Wilderness Pack.description	Equips	A heavy-duty hiker's load, complete with bedroll and grit.	一套结实耐用的远足行装，铺盖卷与坚韧意志一应俱全。	一套结实耐用的远足行装，铺盖卷与坚韧意志一应俱全。
equip.Wilderness Pack.name	Equips	Wilderness Pack		荒野行囊
equip.Wildroot Veil.description	Equips	The enchanted bark links the wearer to ancient woodland spirits.	附魔树皮将穿戴者与古老森林灵体相连。	附魔树皮将穿戴者与古老森林灵体相连。
equip.Wildroot Veil.name	Equips	Wildroot Mask		荒根面具
equip.Willow Staff.description	Equips	Flexible willow channels steady spells without losing its gentle swing.	柔韧的柳木能稳定引导法术，同时保留温和的摆动。	柔韧的柳木能稳定引导法术，同时保留温和的摆动。
equip.Willow Staff.name	Equips	Willow Staff		柳木法杖
equip.Wind Shield.description	Equips	“Wind is wild, aye, but even wild things can be turned aside.” — Suphara	“风确实狂野，但再狂野的东西也能被引向别处。” — Suphara	“风确实狂野，但再狂野的东西也能被引向别处。” — 苏帕拉
equip.Wind Shield.name	Equips	Zephyr Cross		西风十字
equip.Windcarver.description	Equips	Curved tribal metal returns faithfully after cutting through the air.	弯曲的部族金属划破空气后，总会忠实地回到手中。	弯曲的部族金属划破空气后，总会忠实地回到手中。
equip.Windcarver.name	Equips	Windcarver		风雕者
equip.Windroot.description	Equips	Crystal-grown branches stir currents that eyes cannot follow around the hand.	水晶中生长的枝杈搅动着肉眼无法追随、盘旋于手边的气流。	水晶中生长的枝杈搅动着肉眼无法追随、盘旋于手边的气流。
equip.Windroot.name	Equips	Windroot		风根
equip.WindstriderChest.description	Equips	Enchanted leather makes every movement feel swift and precise.	附魔皮革让每一个动作都显得迅捷而精准。	附魔皮革让每一个动作都显得迅捷而精准。
equip.WindstriderChest.name	Equips	Windstrider Chest		御风者胸甲
equip.WindstriderFeet.description	Equips	Feather-light boots let the wind carry each quiet step forward.	轻若羽毛的靴子让风托着每一步无声向前。	轻若羽毛的靴子让风托着每一步无声向前。
equip.WindstriderFeet.name	Equips	Windstrider Shoes		御风者鞋
equip.WindstriderLegs.description	Equips	Flexible cloth never snags, even when arrows fly mid-roll.	柔韧布料从不勾挂，即使箭矢在翻滚途中飞出。	柔韧布料从不勾挂，即使箭矢在翻滚途中飞出。
equip.WindstriderLegs.name	Equips	Windstrider Legs		御风者护腿
equip.Winged Helm.description	Equips	Iron wings crown a battered helm built from victory and dominance.	铁翼为一顶伤痕累累的头盔加冕，它由胜利与征服铸成。	铁翼为一顶伤痕累累的头盔加冕，它由胜利与征服铸成。
equip.Winged Helm.name	Equips	Winged Helm		翼盔
equip.Wings of Valor.description	Equips	Heroic shimmer follows the wings, bright with deeds remembered proudly.	英雄般的微光追随着双翼，因那些值得骄傲铭记的功绩而闪耀。	英雄般的微光追随着双翼，因那些值得骄傲铭记的功绩而闪耀。
equip.Wings of Valor.name	Equips	Wings of Valor		英勇羽翼
equip.Witchsteps.description	Equips	Hexed soles hum beneath spell-charged feet, one cast after another.	受诅咒的鞋底在充满法术力量的脚下低鸣，一次施法接着一次。	受诅咒的鞋底在充满法术力量的脚下低鸣，一次施法接着一次。
equip.Witchsteps.name	Equips	Witchsteps		女巫之步
equip.Wizard_1.description	Equips	Storm-heavy pages condense chain lightning into fewer, harsher divine strikes.	风暴沉重地压在书页上，将连锁闪电凝聚为次数更少、威力更强的神圣雷击。	风暴沉重地压在书页上，将连锁闪电凝聚为次数更少、威力更强的神圣雷击。
equip.Wizard_1.name	Equips	Jupiter's Wrath		朱庇特之怒
equip.Wizard_2.description	Equips	Overcharged notes let lightning spend itself again through sudden thunderbolts.	过载笔记让闪电通过突如其来的雷击再次释放自身力量。	过载笔记让闪电通过突如其来的雷击再次释放自身力量。
equip.Wizard_2.name	Equips	Voltaic Overdraw		雷能过载
equip.Wizard_3.description	Equips	A calm diagram in the center teaches lightning to blind before leaving.	中央那幅沉静图示教会闪电在离去前先致盲目标。	中央那幅沉静图示教会闪电在离去前先致盲目标。
equip.Wizard_3.name	Equips	Eye of the Storm		风暴之眼
equip.Wizard_4.description	Equips	Stone-written runes keep earthen walls standing long enough to slow pursuit.	写于岩石之上的符文让土墙屹立得足够长久，以减缓追击。	写于岩石之上的符文让土墙屹立得足够长久，以减缓追击。
equip.Wizard_4.name	Equips	Stonewake		岩醒
equip.Wizard_5.description	Equips	Strict arcane notes trade casting comfort for sharper, heavier spell impact.	严苛的奥术笔记牺牲施法舒适度，换取更锐利、更沉重的法术冲击。	严苛的奥术笔记牺牲施法舒适度，换取更锐利、更沉重的法术冲击。
equip.Wizard_5.name	Equips	Focused Amplification		专注增幅
equip.Wizard_6.description	Equips	Blue script echoes every cast, leaving spare mana humming in its wake.	蓝色文字回响着每一次施法，在其后留下仍在低鸣的备用魔力。	蓝色文字回响着每一次施法，余波中仍有备用法力低鸣。
equip.Wizard_6.name	Equips	Mana Surge		法力涌动
equip.Wizard_7.description	Equips	Elemental sigils raise matching barriers whenever avatar power gathers around the caster.	当化身之力汇聚在施法者周围时，元素符印会升起对应的屏障。	当化身之力汇聚在施法者周围时，元素符印会升起对应的屏障。
equip.Wizard_7.name	Equips	Arcane Barrier		奥术屏障
equip.Wizard_Artifact_1.description	Grimoires	Tempest and Chain Lightning build Tempest Engine, increasing their power and MP cost. Chain Lightning also triggers Thunder Storm.	Tempest 与 Chain Lightning 会累积 Tempest Engine，提高其威力与 MP 消耗。Chain Lightning 还会触发 Thunder Storm。	风暴与连锁闪电会累积风暴引擎，提高其威力与法力消耗。连锁闪电还会触发雷暴。
equip.Wizard_Artifact_1.name	Grimoires	Tempest Engine		风暴引擎
equip.Wizard_Artifact_2.description	Grimoires	Frozen lasts longer. Blizzard and Ice Shard can create Frozen Ground.	冻结的持续时间延长。Blizzard 与 Ice Shard 可以生成 Frozen Ground。	冰封持续时间延长。暴风雪与冰霜碎片可以生成冰封大地。
equip.Wizard_Artifact_2.name	Grimoires	Frozen Dominion		冰封领域
equip.Wizard_Artifact_3.description	Grimoires	Burning or Stun triggers Combustion. Fire Pillar gains more instances, and Meteor becomes Meteor Storm.	灼烧或眩晕会触发 Combustion。Fire Pillar 获得更多作用次数，Meteor 则会变为 Meteor Storm。	燃烧或眩晕会触发燃爆。火柱的生效次数增加，陨星则变为陨星风暴。
equip.Wizard_Artifact_3.name	Grimoires	Meteoric Cataclysm		陨星浩劫
equip.Wizardry Hat.description	Equips	Pointed tradition and a glowing gem make wizardry look official.	尖顶传统与一枚发光宝石，让巫术显得格外正式。	尖顶传统与一枚发光宝石，让巫术显得格外正式。
equip.Wizardry Hat.name	Equips	Wizardry Hat		魔法帽
equip.Wolfcrest Shield.description	Equips	A wolf emblem guards loyalty, ferocity, and the arm behind it.	狼之徽记守护忠诚、凶猛，以及持盾的那条手臂。	狼之徽记守护忠诚、凶猛，以及持盾的那条手臂。
equip.Wolfcrest Shield.name	Equips	Wolfcrest Shield		狼徽盾
equip.Wooden Guard.description	Equips	Broken wood survives through nails, hope, and heroic denial.	破碎木板依靠钉子、希望与英勇的自我否认继续撑了下来。	破碎木板依靠钉子、希望与英勇的自我否认继续撑了下来。
equip.Wooden Guard.name	Equips	Wooden Guard		木制护盾
equip.Wraith of Dawn.description	Equips	“First light should be swift enough that no one sees it coming.” — Suphara	“第一道曙光应当快到没有人看见它来临。” — Suphara	“第一道曙光应当快到没有人看见它来临。” — 苏帕拉
equip.Wraith of Dawn.name	Equips	Wraith of Dawn		黎明幽灵
equip.Wraithlight.description	Equips	Spectral fire burns in the skull's eyes, whispering forgotten names.	幽灵火焰燃烧在骷髅眼中，低语着被遗忘的名字。	幽灵火焰燃烧在骷髅眼中，低语着被遗忘的名字。
equip.Wraithlight.name	Equips	Wraithlight		幽灵之光
equip.Zephyrlight.description	Equips	Golden crystal glows brightly, probably because subtlety never learned magic.	金色水晶明亮发光，大概是因为低调从来没学会魔法。	金色水晶明亮发光，大概是因为低调从来没学会魔法。
equip.Zephyrlight.name	Equips	Zephyrlight		和风之光
gem.AerialShot Gem.affix	Gems	Aerial Shot		空中射击
gem.AerialShot Gem.description	Gems	A sparkling gem that holds the memories of an old Gunslinger. When embedded into an artifact, the user's Aerial Shot is improved.	一颗闪耀的宝石，封存着一位昔日 Gunslinger 的记忆。嵌入神器后，使用者的 Aerial Shot 将获得强化。	一颗闪耀的宝石，封存着一位昔日枪手的记忆。嵌入神器后，使用者的空中射击将获得强化。
gem.AerialShot Gem.name	Gems	Aerial Shot Gem		空中射击宝石
gem.ArrowShower Gem.affix	Gems	Arrow Shower		箭雨
gem.ArrowShower Gem.description	Gems	A sparkling gem that holds the memories of an old Scout. When embedded into an artifact, the user's Arrow Shower is improved.	一颗闪耀的宝石，封存着一位昔日 Scout 的记忆。嵌入神器后，使用者的 Arrow Shower 将获得强化。	一颗闪耀的宝石，封存着一位昔日斥候的记忆。嵌入神器后，使用者的箭雨将获得强化。
gem.ArrowShower Gem.name	Gems	Arrow Shower Gem		箭雨宝石
gem.AtkSpd Gem.affix	Gems	Tempo		节奏
gem.AtkSpd Gem.description	Gems	An ancient gem that radiates the essence of a legendary being. When embedded into an artifact the user attacks with greater speed.	一颗古老的宝石，散发着传奇存在的精粹。嵌入神器后，使用者的攻击速度将得到提升。	一颗古老的宝石，散发着传奇存在的精粹。嵌入神器后，使用者的攻击速度将得到提升。
gem.AtkSpd Gem.name	Gems	Tempo Gem		节奏宝石
gem.AxeArc Gem.affix	Gems	Twin Cleave		双重劈砍
gem.AxeArc Gem.description	Gems	A sparkling gem that holds the memories of an old Warrior. When embedded into an artifact, the user's Twin Cleave is improved.	一颗闪耀的宝石，封存着一位昔日 Warrior 的记忆。嵌入神器后，使用者的 Twin Cleave 将获得强化。	一颗闪耀的宝石，封存着一位昔日战士的记忆。嵌入神器后，使用者的双重劈砍将获得强化。
gem.AxeArc Gem.name	Gems	Twin Cleave Gem		双重劈砍宝石
gem.AxeThrow Gem.affix	Gems	Axe Throw		飞斧
